,instrument,symbol,expiry_dt,strike_pr,option_typ,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,timestamp,unnamed: 15
6733,OPTSTK,AARTIIND,2021-11-25,1000.0,CE,49.1,55.0,39.25,53.0,53.0,25,223.2,19550,14450,2021-10-25,
6971,OPTSTK,AARTIIND,2021-11-25,1000.0,CE,61.0,62.4,60.0,60.1,60.5,10,90.14,23800,4250,2021-10-26,
6929,OPTSTK,AARTIIND,2021-11-25,1000.0,CE,60.6,63.35,53.0,57.85,57.85,28,252.19,36550,12750,2021-10-27,
6743,OPTSTK,AARTIIND,2021-11-25,1100.0,CE,29.05,29.05,20.0,26.2,26.2,40,382.64,85850,13600,2021-10-25,
6981,OPTSTK,AARTIIND,2021-11-25,1100.0,CE,22.0,29.45,22.0,28.5,28.5,28,268.04,92650,6800,2021-10-26,
6939,OPTSTK,AARTIIND,2021-11-25,1100.0,CE,23.25,30.0,22.5,23.95,23.95,95,909.72,127500,34850,2021-10-27,
6748,OPTSTK,AARTIIND,2021-11-25,1150.0,CE,14.2,14.2,14.2,14.2,10.75,1,9.89,1700,850,2021-10-25,
6986,OPTSTK,AARTIIND,2021-11-25,1150.0,CE,14.2,14.2,14.2,14.2,12.5,1,9.89,2550,850,2021-10-26,
6944,OPTSTK,AARTIIND,2021-11-25,1150.0,CE,14.25,14.25,14.25,14.25,11.65,3,29.68,3400,850,2021-10-27,
6753,OPTSTK,AARTIIND,2021-11-25,1200.0,CE,16.0,16.0,9.5,13.2,13.2,22,226.83,58650,10200,2021-10-25,
6991,OPTSTK,AARTIIND,2021-11-25,1200.0,CE,13.25,14.0,12.0,13.1,6.6,19,195.86,64600,5950,2021-10-26,
6949,OPTSTK,AARTIIND,2021-11-25,1200.0,CE,13.1,14.0,10.5,10.55,10.55,45,463.62,89250,24650,2021-10-27,
7124,OPTSTK,ABBOTINDIA,2021-11-25,21000.0,CE,599.0,599.0,450.0,472.45,472.45,14,75.21,350,325,2021-10-25,
7365,OPTSTK,ABBOTINDIA,2021-11-25,21000.0,CE,601.0,640.0,520.0,520.0,532.9,7,37.71,525,175,2021-10-26,
7323,OPTSTK,ABBOTINDIA,2021-11-25,21000.0,CE,649.95,750.0,460.05,508.45,508.45,47,254.42,750,225,2021-10-27,
7132,OPTSTK,ABBOTINDIA,2021-11-25,23000.0,CE,0.0,0.0,0.0,339.15,110.05,0,0.0,0,0,2021-10-25,
7373,OPTSTK,ABBOTINDIA,2021-11-25,23000.0,CE,200.0,200.0,200.0,200.0,119.7,2,11.6,50,50,2021-10-26,
7331,OPTSTK,ABBOTINDIA,2021-11-25,23000.0,CE,119.7,250.0,119.7,250.0,167.8,6,34.8,200,150,2021-10-27,
7380,OPTSTK,ABFRL,2021-11-25,250.0,CE,23.75,23.75,12.95,15.55,15.55,16,111.14,41600,23400,2021-10-25,
7624,OPTSTK,ABFRL,2021-11-25,250.0,CE,17.0,23.75,17.0,22.8,22.8,26,182.91,52000,10400,2021-10-26,
7582,OPTSTK,ABFRL,2021-11-25,250.0,CE,24.25,24.65,16.0,19.35,19.35,23,160.97,91000,39000,2021-10-27,
7381,OPTSTK,ABFRL,2021-11-25,255.0,CE,0.0,0.0,0.0,4.65,11.75,0,0.0,0,0,2021-10-25,
7625,OPTSTK,ABFRL,2021-11-25,255.0,CE,20.5,20.5,20.5,20.5,17.85,1,7.16,2600,2600,2021-10-26,
7583,OPTSTK,ABFRL,2021-11-25,255.0,CE,16.4,16.4,15.7,15.7,14.4,2,14.09,5200,2600,2021-10-27,
7382,OPTSTK,ABFRL,2021-11-25,260.0,CE,15.7,15.7,11.5,11.8,11.8,30,212.73,85800,28600,2021-10-25,
7626,OPTSTK,ABFRL,2021-11-25,260.0,CE,12.85,19.5,12.1,18.75,18.75,153,1101.87,236600,150800,2021-10-26,
7584,OPTSTK,ABFRL,2021-11-25,260.0,CE,18.75,20.85,12.15,14.15,14.15,287,2066.25,358800,122200,2021-10-27,
7386,OPTSTK,ABFRL,2021-11-25,280.0,CE,6.5,7.15,6.45,6.9,4.5,4,29.82,36400,0,2021-10-25,
7630,OPTSTK,ABFRL,2021-11-25,280.0,CE,7.25,11.05,7.1,10.65,10.65,27,203.32,59800,23400,2021-10-26,
7588,OPTSTK,ABFRL,2021-11-25,280.0,CE,11.0,12.0,7.0,7.6,7.6,41,307.8,88400,28600,2021-10-27,
7388,OPTSTK,ABFRL,2021-11-25,290.0,CE,6.0,6.0,6.0,6.0,2.95,1,7.69,2600,2600,2021-10-25,
7632,OPTSTK,ABFRL,2021-11-25,290.0,CE,7.15,7.15,7.15,7.15,5.25,1,7.72,5200,2600,2021-10-26,
7590,OPTSTK,ABFRL,2021-11-25,290.0,CE,8.25,8.25,4.3,4.3,3.75,12,92.27,23400,18200,2021-10-27,
7390,OPTSTK,ABFRL,2021-11-25,300.0,CE,5.2,5.2,4.0,4.05,1.85,10,79.11,75400,7800,2021-10-25,
7634,OPTSTK,ABFRL,2021-11-25,300.0,CE,4.4,6.3,4.0,6.1,6.1,40,316.96,127400,52000,2021-10-26,
7592,OPTSTK,ABFRL,2021-11-25,300.0,CE,6.1,6.1,4.0,4.3,4.3,40,316.91,135200,7800,2021-10-27,
